Country,Property Type,Size Factor,Price Factor,Bathroom Factor,Building Age Factor,Density vs. Modernity Factor
Montenegro,apartment,-2.650429416352052,0.686337264680561,-1.3030180759120271,-1.0855534360948318,0.4034479068735697
Montenegro,apartment,-2.68153680727694,1.0972832997761115,-1.5593442661844474,-1.0321574567167238,0.5448870577654998
Montenegro,apartment,0.9569754259317188,0.4548236641823595,-0.3803814654420988,0.2998351974168532,-0.2836246874949547
Uzbekistan,apartment,-1.798786652357572,0.2560207727001914,0.6363131991040509,1.02758466813472,-1.3068063356514288
Uzbekistan,apartment,-1.5501182684625998,0.3045863002379064,0.5003555974046913,0.9373677506389866,-1.1830680382404706
Turkey,apartment,-0.2948195890476462,0.5716569109037748,-0.9910589114101704,0.050252201203891,0.4617329569312391
Turkey,apartment,-0.6331609877415295,1.6702930088845331,1.732939047249063,-0.3216098594681507,2.0089799773713244
Turkey,apartment,-0.7507427100470127,1.223358128726836,-0.0868374128855695,0.4123959367546878,-1.0098335132984633
Turkey,apartment,-2.133170980937614,1.411449133599597,-1.0265209170245333,-0.4305198854660047,-0.2406378947065838
Turkey,apartment,0.0270997638108765,0.5762958918702028,-0.8144813170996619,0.0469859655098723,0.0883883105955094
Turkey,apartment,-0.0047701480441481,0.827973727249858,0.1035096289950741,0.7086453898049122,-1.0565567739613928
Montenegro,apartment,-2.7027015329322657,1.160575209503833,-1.6108886639243936,-1.0932466291382572,0.5610371901506271
Turkey,apartment,0.0818908259724867,0.0151234848262312,-0.4297264265280138,0.5072533170762088,0.0069531105489041
Montenegro,apartment,0.0770378072304791,1.8420014120094024,2.4722809408123947,-0.05830612697514,0.6978920963801257
Montenegro,apartment,-0.8517371408516226,1.613125022320108,1.9226835402254023,-0.4383546759899431,1.4971994896519187
Montenegro,apartment,-0.7515779751085836,0.8602863347474239,-0.5090445408697211,0.0269405257279319,-0.3020450605326483
Montenegro,apartment,-2.418848921955452,1.1260036175991197,-1.434647517037819,-0.8931088651662594,0.4256481896492123
Montenegro,apartment,0.882287443479771,0.693157994959286,0.4211669464684476,0.9022667245943776,-1.1724435893580838
Montenegro,apartment,-2.492202562219852,1.0378989655794135,-0.9955973030585944,-0.6193630727973243,-0.1814957820707222
Montenegro,apartment,-0.9585642430803406,0.8292429911572244,-0.6019780015011654,-0.0762263815077042,-0.2089294434795536
Uzbekistan,apartment,-1.289919565327847,-0.2541309724833065,0.453594883600482,1.0574575328409364,-0.8138265468546159
Uzbekistan,apartment,-1.5461717972318552,0.0260986382485287,-0.3258236909597617,0.3719832387614013,-0.0651909330634196
Uzbekistan,apartment,-0.6321541620027166,0.4484847070132678,2.5745186738636865,0.4493403025918949,1.3631123807001777
Turkey,apartment,-1.0757325364487176,1.423027673684279,-0.1217871564520803,0.2910741677628265,-1.1063467617393945
Turkey,apartment,-0.3539523887732825,2.261881230642062,2.74570907770166,0.2039166144230371,0.2291549890569207
Turkey,apartment,-0.5954680057489281,1.0587729885451136,-1.5565625777822198,-0.705257893489285,0.6761051995849261
Turkey,apartment,1.02992260853525,1.1138177328630858,2.451479426960061,0.4073678302038638,1.222625618492036
Turkey,apartment,-1.8814305340687936,1.1945390013975392,-1.039609337739996,-0.4179820913557287,-0.1200581117315176
Turkey,apartment,-0.3003644822858375,1.593724963326831,2.3468199329411186,0.1747838773941271,1.0460897983790898
Turkey,apartment,0.3251626440050882,-0.2636768227792458,-0.7015826642314495,0.3716982362044589,0.4365597947344326
Turkey,apartment,-0.2249376029249503,0.5377352544098145,0.1673556645318222,0.7944947613715778,-0.9831644784787756
Montenegro,apartment,-1.019825362861228,1.6017730258707532,1.8384493885742037,-0.5326709681559272,1.574198342487922
Montenegro,apartment,-0.0332317813903024,1.0606266191187848,-0.2950182246142941,0.158067198821535,-0.6480158040213971
Montenegro,apartment,-2.4557129323990825,0.9132186087700452,-1.3201036329164302,-0.7538872716169643,0.421561779205401
Montenegro,apartment,-1.0603865474224177,1.0345575373326072,-0.7872210873017279,-0.2947080882302644,-0.1411236748439327
Montenegro,apartment,0.1159912598380555,1.634805735218678,2.3867172293948817,-0.0185609348070633,1.0182706862370483
Uzbekistan,apartment,-1.7687835879341107,-0.3819481543955345,-0.0438652100411069,0.6692935702561935,-0.1347063417843592
Uzbekistan,apartment,-2.7724679567020183,-0.0502714920671288,0.0663468750986479,0.6544414349694496,-0.2888151612240967
Uzbekistan,apartment,-3.207995848791604,0.6797539469066072,-0.173259544128767,0.1789325447255872,-0.8050884245705258
Uzbekistan,apartment,0.2731111919616577,-0.7178000922164274,0.0546494903803169,0.9847645057192108,-0.1855841253559118
Turkey,apartment,-1.04929079686507,1.1366637203649996,-1.3843381541000843,-0.7654664972209104,0.4190025928746557
Turkey,apartment,-0.1855729916135037,0.3791883557996018,-0.2592301283411343,-0.017408836667781,-0.5250686733013841
